Kia K5 1 поколение Седан ,12500$,"29 авг,","Седан,
                                        белый,
                                        2.0 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/xA0oW3lb3Gg_PTy_y7-1EA/1080x-/20230829/d269002305c61a095f0f1a8684d2523f.jpeg
Toyota Camry ,34600$,"14 июл, Бишкек","Седан,
                                        черный,
                                        2.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,",https://i.cars.kg/preview/r/PBatEthLBDe4ZbV0z-NSMg/1080x-/20230714/e79fd5fbd72975b6c27c5b656d71b46e.jpg
Geely ,35500$,"14 июл, Бишкек","Внедорожник / Пикап,
                                        бирюзовый,
                                        2.0 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,",https://i.cars.kg/preview/r/IG8csFOhIshE2NcpccGwMg/1080x-/20230714/85cab0224b1c13b776c346514455dcc4.jpg
Toyota Corolla ,21500$,"12 июл, Бишкек","Седан,
                                        белый,
                                                    левый руль,
                                        бензин,
                                        вариатор,
                                        задний,",https://i.cars.kg/preview/r/j3xDCxbnc2i0cvogB80TPA/1080x-/20230712/66697170f357802719216b8e16e4f982.jpeg
Changan ,31800$,"2 июл, Бишкек","Внедорожник / Пикап,
                                        белый,
                                        2 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,",https://i.cars.kg/preview/r/LPHuCE7TGyD-4i1gVOWafA/1080x-/20230702/178b6f0cc53b2647aa57075fef73e7f0.jpg
Geely ,35500$,"27 июн, Бишкек","Кроссовер,
                                        бирюзовый,
                                        2 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,",https://i.cars.kg/preview/r/-ZflT5b4j-zhNktuI767Mw/1080x-/20230707/2c699cb2c35782b990afd30eb2cd56fd.jpg
Hyundai Tucson ,19$,"8 сен, Бишкек","Кроссовер,
                                        белый,
                                        2 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        полный подключаемый,",https://i.cars.kg/preview/r/iGC-eT4202IlGjjrNjsprQ/1080x-/20230908/606f742b91c89f0e40ab4a4e84298265.jpg
Kia Sportage 1 поколение Grand внедорожник 5-дв. ,2649$,"24 авг, Шопоков","Внедорожник / Пикап,
                                        зеленый,
                                        2 л.,
                                        левый руль,
                                        дизель,
                                        автомат,
                                        полный подключаемый,",https://i.cars.kg/preview/r/-CZYsg6IAcCtfpSe4QLKTw/1080x-/20230824/bb6b44955a127523f6557ef33f39f7bc.jpeg
Audi A6 4B/C5 Седан ,4509$,"2 сен, Шопоков","Седан,
                                        дипломат,
                                        2.4 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        полный подключаемый,",https://i.cars.kg/preview/r/VGiB-gOujJjHZ_-yI_RoKA/1080x-/20230902/d22529aab809292b63d8e10983792149.jpeg
Honda CR-V 3 поколение Кроссовер ,14$,"день  назад, Бишкек","Кроссовер,
                                        коричневый,
                                        2.4 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,",https://i.cars.kg/preview/r/Y6XyVfyOsht1_ejQtNspjQ/1080x-/20230916/7bcbb5e3b5fcb1eff6ca4639676498be.jpg
BMW 5 серия E60/E61 [рестайлинг] Седан ,9500$,"3 сен, Бишкек","Седан,
                                        серебряный,
                                        2 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,",https://i.cars.kg/preview/r/9LQy75DHeVz_hxh8g0urYw/1080x-/20230903/4399477a120f5c854c910c053ef2cea0.jpg
Toyota Highlander 2 поколение [рестайлинг] Кроссовер 5-дв. ,20500$,"7 сен, Бишкек","Кроссовер,
                                        темно-синий,
                                        2.7 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/kkFGX0DbyTqSeN5a1pGqTA/1080x-/20230908/86d01e31fc4c0ad420e57ad533c2a2eb.jpeg
Lexus RX 3 поколение Кроссовер 5-дв. ,22500$,"7 сен, Бишкек","Кроссовер,
                                        белый жемчуг,
                                        2.7 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/TId4Jw325WqtYd7Ncc8IkA/1080x-/20230908/7754b1929f8e1c6b08e6ddb547b5cacc.jpeg
ВАЗ (Lada) Kalina 1 поколение 1117 универсал ,4396$,"22 авг, Бишкек","Универсал,
                                        зеленый,
                                        1.4 л.,
                                        левый руль,
                                        бензин,
                                        механика,
                                        передний,",https://i.cars.kg/preview/r/MNPAc-LckahW5Bv360L68A/1080x-/20230823/69a9519f1838d18b6f529a6297533dbc.jpg
Toyota Camry XV30 Седан ,9500$,"3 дня  назад, Бишкек","Седан,
                                        серебряный,
                                        2.4 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/wUxW7nvXkxp59EnaZAC-9A/1080x-/20230915/7dc71b2979c6b13264a8feee4b5ebf8c.jpg
Toyota Camry XV50 [рестайлинг] Седан ,25000$,"3 дня  назад, Бишкек","Седан,
                                        черный,
                                        2.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/ssQEuyf3LEVGUSpJ4OEUnw/1080x-/20230915/84d292d3ebdeeea78428da4786b3aff5.jpg
Hyundai Porter 4 поколение Single Cab борт 2-дв. ,9018$,"6 дней  назад, Ош","Внедорожник / Пикап,
                                        белый,
                                        2.5 л.,
                                        левый руль,
                                        дизель,
                                        механика,
                                        передний,",
Kia K7 ,18$,"день  назад, Бишкек","Седан,
                                        мокрый асфальт,
                                        2.4 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,",https://i.cars.kg/preview/r/IRx6XR_GMa-4Nvu1aAfDmg/1080x-/20230916/82ec4c497c6aac5ad60f7b69f42a96d7.jpg
Hyundai Elantra ,11700$,"2 сен, Бишкек","Седан,
                                        черный,
                                        2 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/fA0voYGtHmpyP8HasODjvw/1080x-/20230902/f640872bb3cd5819c5f3f614bb229842.jpg
Honda Insight ,10500$,"4 дня  назад, Бишкек","Хэтчбек,
                                        белый,
                                        1.3 л.,
                                        левый руль,
                                        гибрид,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/vB1HlX3yftgDU7jHsFIr1g/1080x-/20230913/124e16d204cbbcce4b97c114bd359151.jpg
